title,description
Mayor of Kingstown,"A crime drama about an important contemporary issue, America's prison system, ""Mayor of Kingstown"" follows the McLusky family in Kingstown, Mich., where the business of incarceration is the only thriving industry. The family of power brokers between police, criminals, inmates, prison guards and politicians tackle themes of systemic racism, corruption and inequality. The crime thriller series provides a stark look at their attempt to bring order and justice to a town that has neither. The cast includes Jeremy Renner, Dianne Wiest, Kyle Chandler and Derek Webster."
Atlantics,"Arranged to marry a rich man, young Ada is crushed when her true love goes missing at sea during a migration attempt -- until a miracle reunites them."
Invictus,"Following the fall of apartheid, newly elected President Nelson Mandela (Morgan Freeman) faces a South Africa that is racially and economically divided. Believing he can unite his countrymen through the universal language of sport, Mandela joins forces with Francois Pienaar (Matt Damon), captain of the rugby team, to rally South Africans behind a bid for the 1995 World Cup Championship."
Aankhen,"When Vijay Singh Rajput is unceremoniously stripped of his duties as a bank manager, he decides to seek revenge by robbing the bank. He trains three blind men to do the job for him."
Take My Eyes,"One winter night, a woman named Pilar (Laia Marull) can no longer tolerate her abusive husband, Antonio (Luis Tosar), and she leaves home, taking only a few possessions and her son, Juan (Nicolás Fernández Luna). Seeking solace, Pilar moves into her sister's apartment. However, Juan longs to return to life with his father. But, despite Antonio's promises to seek therapy, Pilar is unsure if her husband is reformed and how to best keep her family together."
You,"What would you do for love? For a brilliant male bookstore manager who crosses paths with an aspiring female writer, this question is put to the test. A charming yet awkward crush becomes something even more sinister when the writer becomes the manager's obsession. Using social media and the internet, he uses every tool at his disposal to become close to her, even going so far as to remove any obstacle -- including people -- that stands in his way of getting to her."
The Pact,"In the aftermath of an unexplained death, five friends are forced into a pact of silence, with a secret that changes their lives forever."
Holbrook/Twain: An American Odyssey,Actor Hal Holbrook has portrayed Mark Twain in a one-man show for 60 years. Filmmaker Scott Teems goes behind the scenes with Holbrook to examine Twain's continued influence on today's culture.
The Distinguished Citizen,"Mr. Mantovani, a Nobel Prize winner, accepts an invitation to visit his hometown in Argentina."
Born a Champion,A former Marine prepares for a jujitsu rematch against a bruising opponent who cheated during their first encounter.
NewsRadio,"""NewsRadio"" showcases the hilarious antics of staffers at WNYX, the fictional No.2 news radio station serving New York. The characters are eccentric and witty, and sarcasm is the name of the game as they surprise one another with back-and-forth banter. Dave Foley stars as the level-headed news director who tries -- but mostly fails -- to keep his colleagues in line."
Ash vs Evil Dead,"Ash is baaaack! Bruce Campbell reprises his ""Evil Dead"" film role as heroic, chainsaw-handed monster fighter Ash Williams, now an aging lothario who has successfully avoided responsibility, maturity and heinous villains for the past 30 years. Constantly peering over his shoulder, Ash somehow knew that the Evil Dead would return for him. That day arrives when Ash commits an act of carelessness, unleashing a Deadite plague that threatens to destroy mankind. Co-starring in the half-hour series are Lucy Lawless as mysterious Ruby; Ray Santiago as Ash's loyal sidekick, Pablo Simon Bolivar; and Dana DeLorenzo as moody wild child Kelly Maxwell."
Vice,"A fearless, raw approach to storytelling is the trademark of ""VICE,"" a groundbreaking newsmagazine series that tackles global issues often overlooked by traditional media. From anti-government rebellions, to hotbeds of terrorist activity, to conflict and corruption, ""VICE"" uses an engrossing documentary style to bring unique perspective to events shaping the future. The series takes its name from a youth media company operating in more than 34 countries. Its founder, Shane Smith, is the host and chief on-air correspondent of ""VICE,"" joined by a network of reporters including VICE co-founder Suroosh Alvi, documentary filmmaker and author Ben Anderson, Academy Award-winning documentary filmmaker and journalist Fazeelat Aslam, and Iranian photojournalist and filmmaker Gelareh Kiazand."
Good Will Hunting,"Will Hunting (Matt Damon) has a genius-level IQ but chooses to work as a janitor at MIT. When he solves a difficult graduate-level math problem, his talents are discovered by Professor Gerald Lambeau (Stellan Skarsgard), who decides to help the misguided youth reach his potential. When Will is arrested for attacking a police officer, Professor Lambeau makes a deal to get leniency for him if he will get treatment from therapist Sean Maguire (Robin Williams)."
I Hate Suzie,Suzie Pickles finds her life upended when her phone is hacked and compromising pictures of her surface online; she struggles to keep it together with help from her best friend and manager Naomi.
The Chalet,"When friends gather at a remote chalet in the French Alps for a summer getaway, they become caught in a deadly trap when a dark secret from the past comes to light. Following a series of accidents, the group becomes paranoid upon realizing that they must be related. Thierry sets out on foot to find help. Grisly discoveries lead the friends to distrust one another. Manu reveals news that pushes the survivors to their breaking point. Flashbacks throughout the series show what happened when the family disappeared from the chalet 20 years earlier."
One Day,"Singing lives with her mother on the Taiwanese island of Kinmen. In a constantly recurring dream she meets a man. She can neither recognize him, nor does she understand the words he shouts at her. Singing works on a ferry where she meets a soldier who claims that he will be her boyfriend one day."
Noriko's Dinner Table,A Japanese teenager (Kazue Fukiishi) runs away to Tokyo to join a weird Internet cult whose leader (Tsugumi) hires out members to clients who want to pretend they have a family.
The Miniaturist,"Nella Oortman's life changes drastically when she marries a wealthy merchant and moves to Amsterdam -- she finds it difficult to fit in as she struggles to win her husband's affection, and discovers dark secrets along the way."
One Piece,"Monkey D. Luffy wants to become the King of all pirates. Along his quest he meets: a skilled swordsman named Roronoa Zolo; Nami, a greedy thief who has a knack for navigation; Usopp, a great liar who has an affinity for inventing; Sanji, a warrior cook; Chopper, a sentient deer who is also a skilled physician; and Robin, former member of Baroque Works. The gang sets sail to unknown seas in Grand Line to find the treasure of One Piece."
The Romanoffs,"Emmy-winning producer Matthew Weiner (""Mad Men"") created this anthology series that tells stories of people who believe that they are descendants of a Russian royal family. Each episode takes place in a new location -- with filming occurring on three continents -- with a new cast. Among the actors appearing in the hourlong installments are Aaron Eckhart, Amanda Peet, Diane Lane, Kathryn Hahn, Noah Wyle, and ""Mad Men"" alumni Christina Hendricks and John Slattery. Weiner writes and directs each episode of the Amazon original series."
A Most Wanted Man,An escaped militant's (Grigoriy Dobrygin) attempt to claim an inheritance gives a German agent (Philip Seymour Hoffman) the chance to lay a trap for a well-regarded Muslim scholar who is suspected of financing terrorists.
Drown,"When Phil dethrones Len at a competition, Len takes him out on a bender through the seedy city. Jealousy, homophobic fear and unrequited lust culminate in a tragic late-night trip back to the beach."
The Yellow Sea,A taxi driver (Ha Jung-woo) goes on the run after an attempt to carry out a hit on a professor (Kwak Do-won) goes terribly awry.
Peepli [Live],"On the verge of losing his family's farm, Natha (Omkar Das Manikpuri) arrives at a unique solution to his financial predicament: suicide. After all, the Indian government supplies hefty payouts to the families of farmers who kill themselves. But, when a broadcast journalist hears of Natha's plan, the poor man is thrust into the center of a media circus. While a nation of viewers watches what Natha will do with bated breath, local politicians fear a backlash from the controversy."
Parasyte: Part 1,"As the human race deals with murders all over the world, a high-school student with a parasite living as his right hand discovers the truth."
That Girl in Yellow Boots,An Anglo-Indian woman (Kalki Koechlin) works in a seedy Mumbai massage parlor while trying to find her long-lost father.
The Perfect Storm,"Based on a true story, the film tells of the courageous men and women who risk their lives every working day, pitting their fishing boats and rescue vessels against the capricious forces of nature. Their worst fears are realized at sea on Halloween of 1991, when they are confronted by three raging weather fronts which unexpectedly collide to produce the greatest, fiercest storm in modern history -- ""The Perfect Storm."""
Official Competition,"Penélope Cruz and Antonio Banderas star as two egomaniacs commissioned by a millionaire to make a movie together in this sharp comedy skewering wealth, art, and pride."
Taken,"Driven by personal tragedy, former Green Beret and CIA operative Bryan Mills specializes in deadly rescue missions -- using his ""very particular set of skills."" Assisted by Christina Hart, his handler back at headquarters, Mills sets out on assignment, armed with his unique expertise, high-tech capabilities and fearless determination. Whether it's the life of a loved one, a treasured possession or a dangerous international secret, Mills stops at nothing to get back what has been taken and punish those responsible."
Another Earth,"Following her release from prison, a morose young woman (Brit Marling) seeks out the man (William Mapother) whose life she shattered in a car accident several years earlier."
The Night Before Christmas,A reading of the poem set to animation.
Mushi-Shi,Ginko helps people with supernatural problems related to the Mushi.
Outsiders,"The Farrells have lived by their own laws and traditions in rural Kentucky for more than 200 years, turning Shay Mountain into a peaceful homeland -- outside of society. Now, in the rugged, mysterious hills of modern-day Appalachia, there's a battle brewing between those trying to take the Farrells' land and key family members who vow to protect their home and defend their way of life, no matter the cost. ""Outsiders"" is created and written by award-winning playwright Peter Mattei, who executive produces alongside Peter Tolan (""Rescue Me,"" ""Analyze This""), Paul Giamatti (""John Adams,"" ""Sideways"") and Michael Wimer ("" 2012"")."
Creepshow,"An anthology horror series based on the 1982 movie features vignettes that explore terror, murder, the supernatural and the unexplainable."
Hacks,"A dark mentorship forms between Deborah Vance, a legendary Las Vegas comic, and an entitled, outcast 25-year-old comedy writer."
Bad Boys for Life,"The wife and son of a Mexican drug lord embark on a vengeful quest to kill all those involved in his trial and imprisonment -- including Miami Detective Mike Lowrey. When Mike gets wounded, he teams up with partner Marcus Burnett and AMMO -- a special tactical squad -- to bring the culprits to justice. But the old-school, wisecracking cops must soon learn to get along with their new elite counterparts if they are to take down the vicious cartel that threatens their lives."
Ugly Delicious,"James Beard Award-winning chef David Chang stars in this travelogue that sends him on a journey to culinary hot spots around the world. He is joined by writers, activists, artists and other chefs who use food as a vehicle to break down cultural barriers and tackle misconceptions. Chang and his guests -- a list that includes the likes of TV host Jimmy Kimmel, comic Nick Kroll and writer Peter Meehan -- venture out of polished kitchens into the wider world to explore locales including Houston, Tokyo and Copenhagen."
When They See Us,"In 1989 a jogger was assaulted and raped in New York's Central Park, and five young people were subsequently charged with the crime. The quintet, labeled the Central Park Five, maintained its innocence and spent years fighting the convictions, hoping to be exonerated. This limited series spans a quarter of a century, from when the teens are first questioned about the incident in the spring of 1989, going through their exoneration in 2002 and ultimately the settlement reached with the city of New York in 2014. The cast is full of Emmy nominees and winners, including Michael K. Williams, John Leguizamo, Felicity Huffman, and Blair Underwood. Oscar nominee and Emmy winner Ava DuVernay co-wrote and directed the four episodes."
ZeroZeroZero,Chaos ensues while a shipment of cocaine is smuggled from South America to Europe.
Wasteland,"Located just outside Rio de Janeiro, Jardim Gramacho, Brazil, is the world's largest garbage landfill. Modern artist Vik Muniz works with the so-called catadores, the men and women who pick through the refuse, to create art out of recycled materials. Muniz selects six of the garbage pickers to pose as subjects in a series of photographs mimicking famous paintings. In his desire to assist the catadores and change their lives, Muniz finds himself changed as well."
Feel Good,"Recovering addict and comic Mae tries to control the addictive behaviors and intense romanticism that permeate her life; her efforts are complicated by a new and all-consuming relationship with her new girlfriend, George."
The Barbarian and the Troll,"Evan ventures out into the world of Gothmoria so he can fulfill his dream of becoming a singer; along the way, he meets Brendar, a feared but revered barbarian, and the duo set off on a quest to vanquish an evil demon."
Paranoia Agent,A detective follows mysterious attacks in Tokyo.
Kon-Tiki,"This Academy Award-winning documentary follows Norwegian explorer, filmmaker and writer Thor Heyerdahl on his highly publicized 1947 sea expedition. Heyerdahl, along with five other crewmen, set sail in a wooden raft designed to duplicate what the ancient Incas might have used to sail from Peru to Polynesia. The goal of Heyerdahl's bold journey is to validate his own disputed theory -- that South American natives could have settled Polynesia's many islands."
Wolf,A search party for missing men turns into a deadly fight for survival when Roman soldiers encounter a pack of bloodthirsty werewolves.
Chop Shop,A young man works as an auto-body repairman to provide for his younger sister.
Trailer Park Boys,"When pot-smoking petty criminals Julian (John Paul Tremblay) and Ricky (Robb Wells) get caught breaking into an ATM, they're both quickly sent to prison. Eighteen months later, the boys are released back into society, but the transition isn't easy. Ricky's girlfriend, Lucy (Lucy Decoutere), has run off, and, in between his efforts to win her back, he's also planning the boys' biggest heist yet, a haphazard plot that finds him enlisting the help of his nerdy friend Bubbles (Mike Smith)."
High Maintenance,"The Guy is a nameless marijuana dealer in Brooklyn who delivers his goods via bicycle to stressed-out clients across New York City, who try to savour the highs of life in an increasingly volatile world. While dropping off weed to his customers, he makes brief appearances in their lives to get a glimpse at their daily routines, allowing viewers to explore the existences of intriguing, colorful individuals from all walks of life. The comedy series stars Ben Sinclair, who created the show with then-wife Katja Blichfeld, as The Guy."
Kaakkaa Muttai,Two boys from the slums develop schemes to make enough money to buy a pizza.
The Triplets of Belleville,"This animated film follows elderly Frenchwoman Madame Souza as she becomes involved in international intrigue when her grandson, Champion, a professional cyclist, is kidnapped and taken abroad. Joined by her faithful dog, Bruno, Souza embarks on a journey to find Champion, and stumbles across unlikely allies in the form of three sisters who are veterans of the vaudeville stage. Tracking down Champion's criminal captors, the quartet of old women use their wits to try and win the day."
Malikappuram,Eight-year-old Kallu from Panchalimedu village desperately wants to visit Sabarimala.
Penguins of Madagascar,"Plucky penguins Skipper (Tom McGrath), Kowalski (Chris Miller), Rico (Conrad Vernon) and Private (Christopher Knights) -- the most elite spies ever hatched -- join forces with a chic undercover organization known as the North Wind. Led by highly trained, handsome and arrogant Agent Classified (Benedict Cumberbatch), this special inter-species task force must stop a many-tentacled villain, Dr. Octavius Brine (John Malkovich), from destroying the world."
Drops of God,"A woman's late father leaves her an extraordinary wine collection, but to claim her inheritance she must compete with a brilliant young winemaker."
Boss,"As mayor, Tom Kane is the most powerful man in Chicago, where the constituents have a history of looking the other way as long as the job gets done. And Kane has gotten things done over several terms in office; he knows the backroom politics game in the Windy City and he plays it well. Yet despite his success, Kane leads an otherwise empty existence. He has no one to turn to when he's confronted with the fact that he has a degenerative brain disorder. He's estranged from his wife, Meredith, and daughter, Emma. Kitty O'Neil, Kane's chief of staff, has her suspicions but plays the part of loyal employee, as does adviser Ezra Stone, who doesn't ask any questions. That's the way Kane likes it, of course, but he won't be able to keep his secret forever."
The Works and Days (of Tayoko Shiojiri in the Shiotani Basin),"""The first rule in farming is that you are never to hope for an easy way. The land demands your effort."" The Works and Days (of Tayoko Shiojiri in the Shiotani Basin), the second dramatic feature from directors C.W. Winter & Anders Edström, is an eight-hour fiction shot for a total of twenty-seven weeks, over a period of fourteen months, in a village population forty-seven in the mountains of Kyoto Prefecture, Japan. It is a geographic look at the work and non-work of a farmer. A description, over five seasons, of a family, of a terrain, of a sound space, and of a passage of time. A georgic in five books."
A World Not Ours,Three generations of a family live in exile in a refugee camp in southern Lebanon.
The Gruffalo,A cunning mouse goes for a walk through the forest and has to outwit a succession of predators.
Little Britain USA,"British comedy stars David Walliams and Matt Lucas transplant some of their most popular ""Little Britain"" characters -- including Fat Fighter Marjorie Dawes, unconvincing transvestite Emily Howard, teenage delinquent Vicki Pollard, amorous prime minister Sebastian Love (who was the aide to the prime minister in ""Little Britain"") and Daffyd Thomas, the self-proclaimed ""only gay in the village"" -- across the pond to a Stateside setting, accompanied by several new American characters not seen on the British show."
Magic for Humans,"Magician Justin Willman blends good-natured magic with grown-up laughs in this series that sends him out on the streets and into locations like schools to baffle unsuspecting people. He aims to wow the marks as he performs the tricks and illusions in front of them, with no camera tricks to assist him. Along the way, Willman squares off against a robot in a magic battle and delivers a surprise proposal to a woman who married herself."
Zana,An Albanian woman seeks help from a witch doctor and a televangelist healer to cure her infertility.
Foster's Home for Imaginary Friends,"Sometimes imaginary friends get lost or kids outgrow them and that's why Madame Foster started Foster's Home for Imaginary Friends. When kids dream up pals, they come to life and the house is filled with diverse characters waiting to be reunited or adopted to new kids. The series focuses on building friendships and the importance of friends."
The Duke of Burgundy,"Two entomologists (Sidse Babett Knudsen, Chiara D'Anna) play ritual games of dominance and subservience."
Vengeance,"An aggrieved young woman has vengeance on her mind after the love of her life is killed. However, she sees to it that her dear ones have no wind of what she is up to."
Upload,A man is able to choose his own afterlife after his untimely death.
So Help Me Todd,"Meticulous attorney Margaret Wright hires her talented but scruffy son Todd as her law firm's in-house investigator. As the black sheep of the well-heeled Wright family, Todd is a laid-back, quick-thinking, excellent former private detective who fell on hard times after his flexible interpretation of the law got his license revoked. Margaret's penchant for excellence and strict adherence to the law is at complete odds with Todd's scrappy methods of finding his way through sticky situations: by the seat of his wrinkled pants. When Todd inadvertently teams with his mother on a case, she's surprised to find herself duly impressed by -- and proud of -- his crafty ability to sleuth out information with his charm and his wide-ranging tech savvy. At last, Margaret sees a way to put her son on a suitable path to living an adult, financially solvent life she approves of, and she asks him to join her firm."
Still Time,"Once always in a rush, workaholic Dante now wants life to slow down when he finds himself skipping ahead in time, one year every day."
In the Fog,Police question three suspects when a woman and her mother-in-law mysteriously disappear.
"Two Days, One Night",A factory worker (Marion Cotillard) has just one weekend to convince her colleagues to give up their bonuses so that she can keep her job.
Selena: The Series,"The tragic life story of Selena Quintanilla, the Queen of Tejano music and an iconic Mexican-American pop star."
Gozu,Chaos ensues when a yakuza boss orders a young gangster (Hideki Sone) to kill an insane colleague (Shô Aikawa).
Talladega Nights: The Ballad of Ricky Bobby,"NASCAR superstar Ricky Bobby (Will Ferrell) is at the top of his game; adored by fans, a trophy wife by his side, and incredible wealth. But Ricky loses it all when French Formula One champion Jean Girard (Sacha Baron Cohen) roars onto the scene. Ricky, with the help of his ruthless father, must pull himself out of the depths of despair and restore his honor on the racetrack."
American Gangster,"Frank Lucas (Denzel Washington) earns his living as a chauffeur to one of Harlem's leading mobsters. After his boss dies, Frank uses his own ingenuity and strict business code to become one of the inner city's most powerful crime bosses. Meanwhile, veteran cop Richie Roberts (Russell Crowe) senses a change in the mob's power structure and looks for ways to bring his opponent to justice."
"Don't Worry, He Won't Get Far on Foot","After nearly dying in a car accident, the last thing Oregon slacker John Callahan intends to do is give up alcohol. Encouraged by his girlfriend and a charismatic sponsor, Callahan reluctantly enters a treatment program and discovers that he has a knack for drawing. The budding artist soon finds himself with a new lease on life when his edgy and irreverent newspaper cartoons gain a national and devoted following."
Don't Come Knocking,"Washed-up movie star Howard Spence (Sam Shepard) spends his days drowning his sorrows in an endless stream of drugs and alcohol, but news that he may have fathered a child offers him a ray of hope. He sets out to find his offspring and discovers a whole life that he has missed."
Cougar Town,"A divorced mother must face the harsh realities of dating and aging in a youth- and beauty-obsessed culture. Having spent her 20s tackling the responsibilities of marriage and motherhood, she finds that her 40s are a journey of self-discovery amid friends, family and an ex-husband who all offer advice. Members of her dysfunctional but supportive extended family, ""the cul-de-sac crew,"" include sarcastic confidante Ellie, across-the-street neighbor Grayson, feisty protege Laurie and witty son Travis."
Lunacy,"In 19th-century France a young man (Pavel Liska) meets a nobleman (Jan Tríska) who invites him to spend the night in his castle, where the former witnesses a bizarre orgy and the latter's apparent death and burial. The next day, the nobleman explains he cured his fear of premature burial by having himself entombed, and he suggests that the young man, who is plagued by nightmares of a madhouse, have himself committed."
Om,The inward thoughts of yoga students are examined.
Colin from Accounts,"Ashley and Gordon are brought together by a car accident and an injured dog, and learn to navigate life together while showing their true selves, scars and all."
The Old Man,"Dan Chase absconded from the CIA and lives off the grid. When an assassin arrives and tries to take Chase out, the old operative learns that to ensure his future he now must reconcile his past. The FBI's Harold Harper is called on to hunt him down because of his complicated past with the rogue fugitive. When Chase proves to be more difficult to apprehend than the authorities expected, a highly trained special ops contractor is sent to pursue him as well. While on the run, Chase rents a room from Zoe McDonald, who draws on reserves she never knew she had to survive the day when she learns the truth about her new tenant."
The King of Staten Island,"An aimless slacker dreams of becoming a tattoo artist while living with his mother and hanging out with his friends in Staten Island, N.Y."
The Gift,A young man with Asperger's syndrome falls in love with a sheltered woman.
Kushi,"After crossing paths several times while growing up, a man and a woman meet and fall in love."
The Call,"A law school dropout turned minister is certain that he has found his call in life until he moves back to his hometown. Upon seeing his childhood friends' successful and affluent lifestyles, he finds himself doubting his call."
Fast N' Loud,"Richard Rawlings and Aaron Kaufman deal in rusty gold. The proprietors of Gas Monkey Garage in Dallas buy, restore and resell forgotten, derelict American cars, everything from 1931 Model A cars to '73 Trans Ams. As ""Fast N' Loud"" shows, Rawlings is the mastermind, a deal-maker with an eye for relics worth their efforts, and to find them the guys search barns, fields and auctions across the U.S. Kaufman manages most restorations. He's a fabricator and self-taught mechanic, whose techniques and design skills first endeared him to Rawlings and kick-started the partnership. At the end of Season 12, that partnership ended when Kaufman exited Gas Monkey, leaving Rawlings as the series' sole star."
At the Heart of Gold: Inside the USA Gymnastics Scandal,In 2016 USA Gymnastics was rocked by the revelation that national team doctor Larry Nassar had been abusing young athletes for decades.
Brad's Status,"Brad Sloan has a satisfying career and a comfortable life in suburban California, but it's not quite what he imagined during his glory days in college. Sloan keeps comparing his life with those of his four college friends, wondering what it would be like to have their well-paying and glamorous jobs. When circumstances force Brad to reconnect with his buddies, he soon begins to question whether he has failed, or is in some ways the most successful of them all."
Tanzania: A Journey Within,An African man and a woman from America tour Africa and see how people live.
Boston Legal,"The Boston law firm Crane, Poole and Schmidt deals in the often high-priced world of civil litigation, where smarmy Alan Shore feels at home. Loose cannon Denny Crane has the run of the place, while other members of the firm try -- with often dismal results -- to keep him in check."
The Hunger Games: Mockingjay - Part 1,"Following her rescue from the devastating Quarter Quell, Katniss (Jennifer Lawrence) awakes in the complex beneath the supposedly destroyed District 13. Her home, District 12, has been reduced to rubble, and Peeta Mellark (Josh Hutcherson) is now the brainwashed captive of President Snow (Donald Sutherland). At the same time, Katniss also learns about a secret rebellion spreading throughout all of Panem -- a rebellion that will place her at the center of a plot to turn the tables on Snow."
The Listener,"Toby Logan, a 25-year-old paramedic, uses his secret telepathic ability to help people in crisis. Until now, Toby kept his ability hidden to everyone except his mentor, Dr. Ray Mercer, but aided by his paramedic partner, ""Oz"" Bey, Detective Charlie Marks and emergency room physician (and ex-girlfriend) Dr. Olivia Fawcett, Toby realizes his gift can help others."
Inhale,"After doctors diagnose a fatal lung disease in a girl, her desperate father (Dermot Mulroney) resorts to extreme measures to save her life."
Frisky Dingo,"From the co-creators of ""Sealab 2021,"" this tale revolves around a super villain named Killface and his struggle to destroy the world -- but he finds that global destruction is hard work. While Killface unenthusiastically deals with his tasks, his nemesis, billionaire playboy Xander Crews, is on the case. Xander's superhero alias, Awesome X, puts on a good face to make sure his action figure line of toys stays in business."
Summer of 84,"Teenager Davey Armstrong is a conspiracy theorist who begins to suspect that a neighboring police officer is a serial killer. With help from three friends, Davey launches a daring investigation that soon turns dangerous."
Starlet,A drama movie.
Promised Land,"When ambitious Polish aristocrat Karol Borowiecki (Daniel Olbrychski) decides to open his own textile factory, he recruits two enterprising friends, Jewish businessman Moryc Welt (Wojciech Pszoniak) and German industrial heir Maks Baum (Andrzej Seweryn), to begin the new venture. Unfortunately, Karol's affair with Lucy Zuckerowa (Kalina Jedrusik), the wife of a business rival, threatens to derail the trio's attempts at establishing their own company."
Breach,"Eric O'Neill (Ryan Phillippe), a low-level surveillance expert with the FBI, believes he is accomplishing his dream of becoming a full-fledged agent, with his unexpected promotion and assignment to work with renowned agent Robert Hanssen (Chris Cooper). However, he soon learns the reason for his promotion is to gain Hanssen's trust and find proof that he is a traitor to the country."
Margin Call,"When an analyst uncovers information that could ruin them all, the key players (Kevin Spacey, Paul Bettany) at an investment firm take extreme measures to control the damage."
Kyle XY,"A teenage boy is found wandering, naked and dazed, in traffic. At a nearby youth detention center, authorities discover that this kid -- Kyle -- is a savant who's missing instinctive human behavior like joy, anger and love. Stranger still, he's missing the one thing every mammal has: a belly button. One of the center's psychologists, Natalie Trager, realizes that Kyle needs special attention -- so she brings him home to live with her family. Soon, Kyle starts to investigate his origins ... and some people aren't too happy about it."
Sunshine State,"This drama tells the story of a Florida island besieged by country-club resort developers. Included in the story are a woman (Angela Bassett) returning home after a long absence, and another woman (Edie Falco) who is forced to sell the restaurant and motel she inherited."
Godless,"Notorious criminal Frank Griffin and his gang of outlaws are on a mission -- get revenge on Roy Goode, a former protege who betrayed the brotherhood. On the run, Roy seeks refuge in isolated mining town La Belle, N.M., where he lives with Alice Fletcher, a hardened widower and outcast. When word reaches La Belle, which is governed mainly by women, that Griffin is headed there, the residents of the town band together to defend against his murderous gang."
Mandibles,"When simple-minded friends Jean-Gab and Manu find a giant fly trapped in the boot of a car, they decide to train it in the hope of making a ton of cash."
V,"Earth has its first encounter with an extraterrestrial race. Calling themselves the Visitors and promoting peace, they seem to be friendly, but their congeniality may be a cover for a malevolent agenda. Erica (Elizabeth Mitchell), an FBI agent, discovers a secret about the aliens that threatens the lives of Earthlings, including her teenage son, who sees them as a sign of hope. Meanwhile, Father Jack (Joel Gretsch), already questioning his faith when the Visitors arrive, seeks answers outside his church and finds other dissidents who believe the Vs are not what they claim to be. The ABC series is billed as a reimagining of a 1980s miniseries by the same name."
The Game,"Tensions are high in 1972 London when the Soviets devise Operation Glass, a plot to bring down Britain, while the world's superpowers engage in a war fought mainly by spies. A defecting KGB officer contacts MI5 with details of the plan. In response, MI5's leader assembles a secret team, including enigmatic agent Joe Lambe, to investigate and stop the threat to Britain and the rest of the world. Among its tasks is to locate enemy sleeper agents across the U.K. before they can carry out their roles in the conspiracy."
Irudhi Suttru,A retired boxer decides to teach a fisherwoman to fight.
The Martian,"When astronauts blast off from the planet Mars, they leave behind Mark Watney (Matt Damon), presumed dead after a fierce storm. With only a meager amount of supplies, the stranded visitor must utilize his wits and spirit to find a way to survive on the hostile planet. Meanwhile, back on Earth, members of NASA and a team of international scientists work tirelessly to bring him home, while his crew mates hatch their own plan for a daring rescue mission."
The Return,"Andrey (Vladimir Garin) and Ivan (Ivan Dobronravov) are brothers who have been raised alone by their mother. When their father (Konstantin Lavronenko) suddenly returns home after vanishing some 12 years earlier, they are both extremely happy to see him back in their lives. Ivan, however, quickly grows suspicious of his father, and determines to find out where exactly his father vanished to all those years ago, and why he suddenly decided to come back into their lives now."
Step Up,"Tyler Gage (Channing Tatum) has been in and out of trouble for most of his life and after finding himself before the judge again, he is sentenced to 200 hours of community service mopping floors at the Maryland School of the Arts. He quickly catches the eye of Nora (Jenna Dewan), a gifted ballet student, who is trying to use hip-hop moves with her classical routines. After some initial hesitation, Nora convinces Tyler to help her with her dance routines and the sparks fly."
A Prophet,"This acclaimed crime drama follows Malik El Djebena (Tahar Rahim), a delinquent young Muslim man, who is struggling to get by in a French prison. When he is taken under the wing of powerful Corsican mob boss Cesar Luciani (Niels Arestrup), he begins performing regular assignments for him, proving himself invaluable to the imposing criminal. As Malik rises in the mob ranks, he gains more power, but also more enemies, a situation that eventually brings conflict with his mentor."
The Greatest Lie Ever Sold: George Floyd and the Rise of BLM,"In the aftermath of George Floyd's death, the media concocted a narrative that justified a summer of worldwide riots and helped contribute to the rise of Black Lives Matter, who used the chaos to raise 90 million dollars. In this new documentary, exclusively on DailyWire+, Candace Owens follows the money and discovers exactly how the money was spent and where it did--and didn't--go."
Burning Love,"In a comedic sendup of dating shows like ""The Bachelor,"" handsome firefighter Mark Orlando searches for love and a special woman who can ""ignite his flames of lasting love."" He's grilled on what he wants -- and doesn't want -- in a love interest as he dates 15 women at once, including a wealthy fashion buyer, a basketball coach, an octogenarian, and a district attorney -- whose favorite movie is ""Fatal Attraction."" After going through exploits that include stand-up comedy challenges, bubble-bath dates, and roller-skating outings, the contestants are winnowed until Orlando chooses his mate."
Mili,"Curmudgeonly Shekhar (Amitabh Bachchan) is new to the block, and it doesn't take long before the street noise, as well as the children playing nearby, push his tolerance to the limit. To the rescue comes Mili (Shubha Khote), who has the exact opposite disposition. While Shekhar may be at a loss over what to do with her at first, he eventually falls in love. Unfortunately, when the time comes to ask for her hand, he finds out Mili has a fatal medical condition and only has a few weeks to live."
Borgman,A vagrant turns the lives of arrogant upper-class people to a psychological nightmare.
Chup,A lonely filmmaker discovers a starlet just as his career plummets.
The Way,"Sun-ae, who is known for her kindness, always welcomes her guests who visit her home. Sang-bum, who is also a visitor of Sun-ae, falls into a love due to Sun-ae's warm characteristic. Su-mi, who wants to end her life, also gets hope from her."
